left_entity_type,left_entity_id,right_entity_type,right_entity_id,role,evidence_type,evidence_source,source_line,confidence,allocation_weight,included_in_direct_totals,included_in_rollup_totals,manual_override_state,reviewed_by,reviewed_at,review_method,evidence_note,source_digest,warning_state
commit,d0fca7dec639c9bd9845c8efb59147ccd1016e26,commit,d0fca7dec639c9bd9845c8efb59147ccd1016e26,identity,canonical-git-identity,d0fca7dec639c9bd9845c8efb59147ccd1016e26,,1.0,1.0,False,True,automatic,,,,,,
commit,bc1eaf01993b5f6ef2cc64eef0f6dd4fe66824de,commit,bc1eaf01993b5f6ef2cc64eef0f6dd4fe66824de,identity,canonical-git-identity,bc1eaf01993b5f6ef2cc64eef0f6dd4fe66824de,,1.0,1.0,False,True,automatic,,,,,,
commit,575c54bdaeb6d9eda3326eedccc6e2395422094e,commit,575c54bdaeb6d9eda3326eedccc6e2395422094e,identity,canonical-git-identity,575c54bdaeb6d9eda3326eedccc6e2395422094e,,1.0,1.0,False,True,automatic,,,,,,
commit,41e60a87d8b66f2a9ba012f5c5d11b525ab7c759,commit,41e60a87d8b66f2a9ba012f5c5d11b525ab7c759,identity,canonical-git-identity,41e60a87d8b66f2a9ba012f5c5d11b525ab7c759,,1.0,1.0,False,True,automatic,,,,,,
commit,a41be8a2ef85b234f33f4003a47fd3d0117b6e83,commit,a41be8a2ef85b234f33f4003a47fd3d0117b6e83,identity,canonical-git-identity,a41be8a2ef85b234f33f4003a47fd3d0117b6e83,,1.0,1.0,False,True,automatic,,,,,,
commit,19369540b1a2f92b3ab4fd1cedb4db7cefe41498,commit,19369540b1a2f92b3ab4fd1cedb4db7cefe41498,identity,canonical-git-identity,19369540b1a2f92b3ab4fd1cedb4db7cefe41498,,1.0,1.0,False,True,automatic,,,,,,
commit,ac6148bb93aa6651ba5884d968f1821e107eef34,commit,ac6148bb93aa6651ba5884d968f1821e107eef34,identity,canonical-git-identity,ac6148bb93aa6651ba5884d968f1821e107eef34,,1.0,1.0,False,True,automatic,,,,,,
commit,ec63010015b0d8b4b08f578fb82c8526ce872cc6,commit,ec63010015b0d8b4b08f578fb82c8526ce872cc6,identity,canonical-git-identity,ec63010015b0d8b4b08f578fb82c8526ce872cc6,,1.0,1.0,False,True,automatic,,,,,,
commit,126cc0a4b597443b882c65566c53e996d2cc62d2,commit,126cc0a4b597443b882c65566c53e996d2cc62d2,identity,canonical-git-identity,126cc0a4b597443b882c65566c53e996d2cc62d2,,1.0,1.0,False,True,automatic,,,,,,
commit,27b4d85ec22c4165acb415ef3929bd10d4c35202,commit,27b4d85ec22c4165acb415ef3929bd10d4c35202,identity,canonical-git-identity,27b4d85ec22c4165acb415ef3929bd10d4c35202,,1.0,1.0,False,True,automatic,,,,,,
commit,e34aa24684bc1f8934df624b380e976c55c09dc0,commit,e34aa24684bc1f8934df624b380e976c55c09dc0,identity,canonical-git-identity,e34aa24684bc1f8934df624b380e976c55c09dc0,,1.0,1.0,False,True,automatic,,,,,,
commit,603c07621916ecd47e1a9faee08d8c32cd6eebdf,commit,603c07621916ecd47e1a9faee08d8c32cd6eebdf,identity,canonical-git-identity,603c07621916ecd47e1a9faee08d8c32cd6eebdf,,1.0,1.0,False,True,automatic,,,,,,
commit,92460554b47e6062390266578964fe59fd5af784,commit,92460554b47e6062390266578964fe59fd5af784,identity,canonical-git-identity,92460554b47e6062390266578964fe59fd5af784,,1.0,1.0,False,True,automatic,,,,,,
commit,096d27739611fe6d978a8e683283c1ec3de7c030,commit,096d27739611fe6d978a8e683283c1ec3de7c030,identity,canonical-git-identity,096d27739611fe6d978a8e683283c1ec3de7c030,,1.0,1.0,False,True,automatic,,,,,,
commit,ea17789b68f2441b900707719032349f6b2aad75,commit,ea17789b68f2441b900707719032349f6b2aad75,identity,canonical-git-identity,ea17789b68f2441b900707719032349f6b2aad75,,1.0,1.0,False,True,automatic,,,,,,
commit,561817a4bca220d705273d6744f1e5756cec418f,commit,561817a4bca220d705273d6744f1e5756cec418f,identity,canonical-git-identity,561817a4bca220d705273d6744f1e5756cec418f,,1.0,1.0,False,True,automatic,,,,,,
commit,3c4cfff64ee127631152a551713977c1ad5a40dd,commit,3c4cfff64ee127631152a551713977c1ad5a40dd,identity,canonical-git-identity,3c4cfff64ee127631152a551713977c1ad5a40dd,,1.0,1.0,False,True,automatic,,,,,,
commit,4e470f0885282d2dfa9bcfc38252ea229589132c,commit,4e470f0885282d2dfa9bcfc38252ea229589132c,identity,canonical-git-identity,4e470f0885282d2dfa9bcfc38252ea229589132c,,1.0,1.0,False,True,automatic,,,,,,
commit,454258cb9db98ff57199e91810c74d771038a613,commit,454258cb9db98ff57199e91810c74d771038a613,identity,canonical-git-identity,454258cb9db98ff57199e91810c74d771038a613,,1.0,1.0,False,True,automatic,,,,,,
commit,cfba5a1a7b93b8e01d1e1b806a8db413e207ae55,commit,cfba5a1a7b93b8e01d1e1b806a8db413e207ae55,identity,canonical-git-identity,cfba5a1a7b93b8e01d1e1b806a8db413e207ae55,,1.0,1.0,False,True,automatic,,,,,,
commit,29c8eed7decacebe51ab53c9150e9b5b86cd9f3b,commit,29c8eed7decacebe51ab53c9150e9b5b86cd9f3b,identity,canonical-git-identity,29c8eed7decacebe51ab53c9150e9b5b86cd9f3b,,1.0,1.0,False,True,automatic,,,,,,
commit,78b870c79708a25f71251242e16deec289711c28,commit,78b870c79708a25f71251242e16deec289711c28,identity,canonical-git-identity,78b870c79708a25f71251242e16deec289711c28,,1.0,1.0,False,True,automatic,,,,,,
commit,75f43d8c150b372bc6602d8a7a6e7e013429e880,commit,75f43d8c150b372bc6602d8a7a6e7e013429e880,identity,canonical-git-identity,75f43d8c150b372bc6602d8a7a6e7e013429e880,,1.0,1.0,False,True,automatic,,,,,,
commit,f195e03db1cd290792f99f8b880bb69995e28921,commit,f195e03db1cd290792f99f8b880bb69995e28921,identity,canonical-git-identity,f195e03db1cd290792f99f8b880bb69995e28921,,1.0,1.0,False,True,automatic,,,,,,
commit,b70f6625e06280784004190bcabafe04c96086d3,commit,b70f6625e06280784004190bcabafe04c96086d3,identity,canonical-git-identity,b70f6625e06280784004190bcabafe04c96086d3,,1.0,1.0,False,True,automatic,,,,,,
commit,fa39eb8476a30b608351962f31e7e6868495c9eb,commit,fa39eb8476a30b608351962f31e7e6868495c9eb,identity,canonical-git-identity,fa39eb8476a30b608351962f31e7e6868495c9eb,,1.0,1.0,False,True,automatic,,,,,,
